Data,USDBRL ,IBOVESPA,OURO,SPX
1995-03-15,0.8895,2939.43,386.3,491.88
1995-03-16,0.892,3141.72,384.1,495.41
1995-03-17,0.889,2981.13,383.7,495.52
1995-03-20,0.9015,2870.06,383.1,496.15
1995-03-21,0.9,3006.13,383.5,495.07
1995-03-22,0.907,3003.95,383.1,495.67
1995-03-23,0.907,3145.62,383.75,495.95
1995-03-24,0.908,3361.21,382.3,500.97
1995-03-27,0.909,3372.26,382.1,503.2
1995-03-28,0.907,3255.77,382.3,503.9
1995-03-29,0.908,3198.17,382.4,503.12
1995-03-30,0.902,3125.53,386.4,502.22
1995-03-31,0.895,2978.96,391.4,500.71
1995-04-03,0.901,2893.52,392.0,501.85
1995-04-04,0.9,3125.12,392.3,505.24
1995-04-05,0.899,3180.39,394.4,505.57
1995-04-06,0.893,3254.59,394.25,506.08
1995-04-07,0.899,3192.64,392.9,506.42
1995-04-10,0.896,3114.1,389.9,507.01
1995-04-11,0.9,3017.77,390.3,505.53
1995-04-12,0.9085,3020.77,390.2,507.17
1995-04-13,0.9,3020.77,389.5,509.23
1995-04-14,0.9,3020.77,389.5,509.23
1995-04-17,0.904,3113.13,394.0,506.13
1995-04-18,0.904,3193.92,395.2,505.37
1995-04-19,0.913,3330.68,394.7,504.92
1995-04-20,0.917,3384.26,392.5,505.29
1995-04-21,0.917,3384.26,390.4,508.49
1995-04-24,0.918,3512.88,390.45,512.89
1995-04-25,0.9205,3699.15,390.2,512.1
1995-04-26,0.918,3825.88,386.7,512.66
1995-04-27,0.918,3851.08,387.25,513.55
1995-04-28,0.912,3813.73,387.1,514.71
1995-05-01,0.912,3813.73,388.1,514.26
1995-05-02,0.913,3861.52,389.0,514.86
1995-05-03,0.905,3975.96,389.9,520.48
1995-05-04,0.904,4043.94,390.7,520.54
1995-05-05,0.901,4008.24,390.0,520.12
1995-05-08,0.898,3914.21,389.7,523.96
1995-05-09,0.896,4065.41,383.8,523.56
1995-05-10,0.893,4050.44,383.8,524.36
1995-05-11,0.8965,3951.07,383.8,524.37
1995-05-12,0.896,3998.33,383.7,525.55
1995-05-15,0.8891,3894.05,385.1,527.74
1995-05-16,0.8895,3835.12,384.8,528.19
1995-05-17,0.8895,3964.36,383.6,527.07
1995-05-18,0.8885,4008.06,383.6,519.58
1995-05-19,0.89,3950.01,383.5,519.19
1995-05-22,0.889,4033.7,382.3,523.65
1995-05-23,0.889,4048.7,383.3,528.59
1995-05-24,0.8885,4099.56,384.2,528.61
1995-05-25,0.892,4018.95,385.3,528.59
1995-05-26,0.896,3904.97,386.0,523.65
1995-05-29,0.905,3896.31,387.0,523.65
1995-05-30,0.9065,3706.81,385.5,523.58
1995-05-31,0.9075,3720.6,384.3,533.4
1995-06-01,0.907,3773.56,385.05,533.49
1995-06-02,0.904,3966.46,383.6,532.51
1995-06-05,0.904,4062.81,384.6,535.6
1995-06-06,0.9075,3933.27,384.5,535.55
1995-06-07,0.91,3808.2,386.4,533.13
1995-06-08,0.911,3818.5,385.5,532.35
1995-06-09,0.912,3670.66,388.5,527.94
1995-06-12,0.917,3704.79,387.4,530.88
1995-06-13,0.914,3789.27,386.8,536.05
1995-06-14,0.906,3665.04,388.1,536.47
1995-06-15,0.906,3665.04,391.4,537.12
1995-06-16,0.908,3717.85,390.0,539.83
1995-06-19,0.911,3696.13,391.7,545.22
1995-06-20,0.913,3576.94,391.0,544.98
1995-06-21,0.918,3631.62,391.0,543.98
1995-06-22,0.919,3598.82,390.1,551.07
1995-06-23,0.9195,3585.65,390.3,549.71
1995-06-26,0.918,3537.04,389.9,544.13
1995-06-27,0.9185,3661.33,389.5,542.43
1995-06-28,0.9185,3715.44,387.3,544.73
1995-06-29,0.919,3678.04,388.1,543.87
1995-06-30,0.921,3603.39,384.6,544.75
1995-07-03,0.9203,3594.37,385.0,547.09
1995-07-04,0.919,3633.6,385.15,547.09
1995-07-05,0.921,3700.3,384.3,547.26
1995-07-06,0.924,3820.97,385.2,553.99
1995-07-07,0.924,3961.74,385.9,556.37
1995-07-10,0.924,3958.4,386.25,557.19
1995-07-11,0.924,3889.21,385.3,554.78
1995-07-12,0.924,4026.47,389.2,560.89
1995-07-13,0.9248,4007.5,389.25,561.0
1995-07-14,0.925,4026.81,388.9,559.89
1995-07-17,0.927,4016.13,389.4,562.72
1995-07-18,0.928,3919.18,390.0,558.46
1995-07-19,0.928,3829.44,388.1,550.98
1995-07-20,0.928,3939.03,386.5,553.54
1995-07-21,0.9331,3862.38,386.6,553.62
1995-07-24,0.933,3899.7,387.4,556.63
1995-07-25,0.935,3917.94,387.0,561.1
1995-07-26,0.935,3878.81,386.9,561.61
1995-07-27,0.936,3912.86,383.3,565.22
1995-07-28,0.936,3888.36,383.5,562.93
1995-07-31,0.935,3877.48,382.6,562.06
1995-08-01,0.935,3870.8,383.5,559.64
1995-08-02,0.9351,3918.47,383.25,558.8
1995-08-03,0.9351,4025.53,384.3,558.75
1995-08-04,0.935,4200.35,384.1,558.94
1995-08-07,0.935,4393.87,384.5,560.03
1995-08-08,0.935,4310.76,385.05,560.39
1995-08-09,0.935,4279.79,384.9,559.71
1995-08-10,0.935,4337.01,384.5,557.45
1995-08-11,0.936,4193.0,384.0,555.11
1995-08-14,0.94,4081.23,384.7,559.74
1995-08-15,0.941,4156.37,385.7,558.57
1995-08-16,0.941,4223.31,382.8,559.97
1995-08-17,0.941,4229.16,384.75,559.04
1995-08-18,0.942,4235.4,385.3,559.21
1995-08-21,0.941,4298.99,384.9,558.11
1995-08-22,0.943,4305.58,383.5,559.52
1995-08-23,0.946,4471.18,383.7,557.14
1995-08-24,0.946,4445.01,383.2,557.46
1995-08-25,0.947,4459.22,383.4,560.1
1995-08-28,0.9478,4514.96,383.3,559.05
1995-08-29,0.95,4367.8,382.7,560.0
1995-08-30,0.95,4236.07,381.6,560.92
1995-08-31,0.95,4310.51,382.75,561.88
1995-09-01,0.95,4449.99,381.05,563.84
1995-09-04,0.948,4520.19,380.25,563.84
1995-09-05,0.948,4563.12,380.4,569.17
1995-09-06,0.948,4550.04,380.5,570.17
1995-09-07,0.948,4550.04,383.0,570.29
1995-09-08,0.95,4531.62,382.9,572.68
1995-09-11,0.951,4638.62,383.0,573.91
1995-09-12,0.951,4703.66,385.4,576.51
1995-09-13,0.952,4737.36,384.4,578.77
1995-09-14,0.952,4810.53,386.0,583.61
1995-09-15,0.952,4801.81,385.2,583.35
1995-09-18,0.952,4851.38,385.75,582.77
1995-09-19,0.952,4861.23,385.7,584.2
1995-09-20,0.953,4776.63,385.0,586.77
1995-09-21,0.953,4693.6,385.5,583.0
1995-09-22,0.953,4673.78,384.0,581.73
1995-09-25,0.9531,4579.1,383.2,581.81
1995-09-26,0.954,4543.95,384.0,581.41
1995-09-27,0.955,4548.04,383.6,581.04
1995-09-28,0.955,4566.67,383.9,585.87
1995-09-29,0.953,4670.14,384.0,584.41
1995-10-02,0.953,4538.0,382.5,581.72
1995-10-03,0.958,4504.22,382.5,582.34
1995-10-04,0.9581,4426.34,383.1,581.47
1995-10-05,0.9579,4498.68,383.4,582.63
1995-10-06,0.9585,4514.63,383.4,582.49
1995-10-09,0.9583,4456.68,384.9,578.37
1995-10-10,0.958,4409.54,385.5,577.52
1995-10-11,0.958,4500.7,385.15,579.46
1995-10-12,0.9578,4500.7,384.8,583.1
1995-10-13,0.958,4513.62,384.5,584.5
1995-10-16,0.958,4549.64,384.0,583.03
1995-10-17,0.958,4621.0,384.1,586.78
1995-10-18,0.9585,4601.75,384.05,587.44
1995-10-19,0.9588,4585.01,382.25,590.65
1995-10-20,0.961,4668.81,382.1,587.46
1995-10-23,0.961,4563.95,383.0,585.06
1995-10-24,0.9612,4528.18,382.7,586.54
1995-10-25,0.9612,4343.78,383.0,582.47
1995-10-26,0.9617,4060.27,383.25,576.72
1995-10-27,0.9617,4140.61,383.0,579.7
1995-10-30,0.9612,4069.07,382.5,583.25
1995-10-31,0.9614,4128.39,383.0,581.5
1995-11-01,0.9625,4099.83,382.5,584.22
1995-11-02,0.9626,4099.83,382.9,589.72
1995-11-03,0.9622,4158.78,382.6,590.57
1995-11-06,0.9618,4094.31,382.7,588.46
1995-11-07,0.9613,4111.21,385.5,586.32
